Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-08-01 00:00:00+05:30,4399.60629919492,4400.847723094242,4306.698328542194,4319.857421875,236581,0.0,0.0
2022-08-02 00:00:00+05:30,4319.857486439275,4329.689466882606,4239.710964328739,4256.3955078125,279358,0.0,0.0
2022-08-03 00:00:00+05:30,4256.594507692037,4270.498456153934,4192.239283069469,4226.45263671875,219114,0.0,0.0
2022-08-04 00:00:00+05:30,4248.003724750951,4325.1208806656705,4208.129285948738,4291.3046875,142418,0.0,0.0
2022-08-05 00:00:00+05:30,4295.327239794226,4522.458379371577,4285.644132143823,4445.53955078125,598049,0.0,0.0
2022-08-08 00:00:00+05:30,4466.146639983901,4480.69603116216,4414.503405543349,4431.53564453125,141291,0.0,0.0
2022-08-10 00:00:00+05:30,4431.536065628308,4500.112619605684,4371.947712534648,4381.978515625,129367,0.0,0.0
2022-08-11 00:00:00+05:30,4407.552383793142,4433.0762587623985,4343.991466135919,4379.7939453125,84024,0.0,0.0
2022-08-12 00:00:00+05:30,4382.078119489335,4424.038253307086,4349.652219572642,4368.2236328125,76046,0.0,0.0
2022-08-16 00:00:00+05:30,4369.811682531595,4422.646872301942,4349.948902156451,4370.2587890625,86557,0.0,0.0
2022-08-17 00:00:00+05:30,4389.674343254163,4441.565855569781,4326.461143419549,4388.830078125,178342,0.0,0.0
2022-08-18 00:00:00+05:30,4389.625168229715,4435.706723480616,4355.9079032777,4390.568359375,99369,0.0,0.0
2022-08-19 00:00:00+05:30,4396.6271788079475,4423.293062952766,4247.904585623739,4265.333984375,105937,0.0,0.0
2022-08-22 00:00:00+05:30,4270.399196725497,4290.361391854404,4171.184686525115,4199.19140625,148705,0.0,0.0
2022-08-23 00:00:00+05:30,4171.134762226389,4260.566744320591,4161.252834196568,4237.0791015625,71988,0.0,0.0
2022-08-24 00:00:00+05:30,4260.467818511278,4276.656278663396,4193.579795440792,4231.07080078125,83669,0.0,0.0
2022-08-25 00:00:00+05:30,4239.710972056634,4255.551735250087,4172.177510801105,4188.61376953125,77514,0.0,0.0
2022-08-26 00:00:00+05:30,4208.874220893905,4240.158103867519,4153.407302825874,4189.60693359375,155699,0.0,0.0
2022-08-29 00:00:00+05:30,4161.153378787797,4208.923466032689,4099.231059501619,4194.52294921875,108148,0.0,0.0
2022-08-30 00:00:00+05:30,4226.10453382626,4288.374548124679,4210.61195212074,4245.12353515625,90942,0.0,0.0
2022-09-01 00:00:00+05:30,4229.779230317721,4326.560825087202,4210.909588294702,4296.91552734375,561313,0.0,0.0
2022-09-02 00:00:00+05:30,4320.155578143918,4335.946394650194,4220.841656807277,4242.59130859375,137592,0.0,0.0
2022-09-05 00:00:00+05:30,4228.885445482394,4295.5251720884335,4205.943836659833,4222.97607421875,75436,0.0,0.0
2022-09-06 00:00:00+05:30,4254.608466993007,4268.512416231546,4183.102442337662,4243.7333984375,221774,0.0,0.0
2022-09-07 00:00:00+05:30,4228.489080630051,4334.059586484142,4206.937765432362,4264.4404296875,210537,0.0,0.0
2022-09-08 00:00:00+05:30,4295.327177710976,4367.826341635347,4260.567304596552,4292.6455078125,163571,0.0,0.0
2022-09-09 00:00:00+05:30,4320.1553206851195,4439.332019186778,4315.289035815881,4341.5078125,227470,0.0,0.0
2022-09-12 00:00:00+05:30,4359.881499175559,4647.891894337497,4350.893782540437,4630.263671875,616082,0.0,0.0
2022-09-13 00:00:00+05:30,4676.147137479696,4757.137456997384,4621.1268298858595,4686.7734375,425004,0.0,0.0
2022-09-14 00:00:00+05:30,4645.904677797653,4760.562780075335,4623.062478654996,4721.234375,180641,0.0,0.0
2022-09-15 00:00:00+05:30,4731.513475714622,4815.0860336670075,4671.775771137953,4774.3173828125,177118,0.0,0.0
2022-09-16 00:00:00+05:30,4767.0679872776345,4806.793553838282,4558.508762834238,4592.5732421875,228866,0.0,0.0
2022-09-19 00:00:00+05:30,4623.062490916819,4667.753750227508,4543.6113632533725,4601.3623046875,136298,0.0,0.0
2022-09-20 00:00:00+05:30,4608.314845605522,4783.057884992295,4607.172832491027,4704.00390625,187013,0.0,0.0
2022-09-21 00:00:00+05:30,4697.548310081001,4784.100292423201,4628.028567648513,4647.64306640625,257573,0.0,0.0
2022-09-22 00:00:00+05:30,4616.607028598261,4699.534142051624,4558.60780312131,4670.83251953125,161342,0.0,0.0
2022-09-23 00:00:00+05:30,4677.6852161319075,4727.342171717171,4581.052974535465,4596.49609375,172528,0.0,0.0
2022-09-26 00:00:00+05:30,4588.103773963553,4588.103773963553,4302.9239812591495,4390.51904296875,283242,0.0,0.0
