Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-11-11 00:00:00+05:30,16135.053406842106,16202.39674666827,15819.59492710749,15916.0791015625,28041,0.0,0.0
2022-11-14 00:00:00+05:30,15995.668968012094,16003.119634554956,15813.28428894932,15966.1962890625,15577,0.0,0.0
2022-11-15 00:00:00+05:30,16049.628127567086,16221.38090247461,16000.697329249737,16032.068359375,21179,0.0,0.0
2022-11-16 00:00:00+05:30,16032.068063532157,16230.920569929835,15774.414805736791,15827.283203125,12774,0.0,0.0
2022-11-17 00:00:00+05:30,15841.758021723344,15993.62628316587,15757.28130129594,15854.3828125,13940,0.0,0.0
2022-11-18 00:00:00+05:30,15911.000019213749,15911.000019213749,15600.241066396167,15695.205078125,15665,0.0,0.0
2022-11-21 00:00:00+05:30,15680.397618473062,15680.397618473062,15480.121353491353,15526.013671875,19098,0.0,0.0
2022-11-22 00:00:00+05:30,15573.995717294025,15645.94219408207,15547.513318342306,15587.521484375,18998,0.0,0.0
2022-11-23 00:00:00+05:30,15664.925459952621,15904.403462998074,15587.521218819016,15801.560546875,59286,0.0,0.0
2022-11-24 00:00:00+05:30,15879.725280291495,15964.439295908114,15709.917207627906,15792.6865234375,20170,0.0,0.0
2022-11-25 00:00:00+05:30,15871.608500125561,16124.61226732648,15758.752884168505,16075.82421875,27789,0.0,0.0
2022-11-28 00:00:00+05:30,16014.51030098097,16180.61623404591,15993.628412252807,16110.9462890625,17734,0.0,0.0
2022-11-29 00:00:00+05:30,16044.503433188745,16137.90279437181,15913.897085662733,15941.6123046875,24072,0.0,0.0
2022-11-30 00:00:00+05:30,16021.342628789645,16207.524009449171,15967.525051391225,16140.1806640625,28048,0.0,0.0
2022-12-01 00:00:00+05:30,16159.73183449013,16331.532801423624,16068.610879652477,16172.451171875,37807,0.0,0.0
2022-12-02 00:00:00+05:30,16229.023038791802,16363.806128715094,16129.882275107304,16272.021484375,29867,0.0,0.0
2022-12-05 00:00:00+05:30,16273.634445180835,16393.13616192255,16156.505670177989,16324.6044921875,26790,0.0,0.0
2022-12-06 00:00:00+05:30,16311.60288275544,16448.284338392146,16253.560352176426,16407.70703125,30608,0.0,0.0
2022-12-07 00:00:00+05:30,16425.501666376374,16444.390652182356,16145.494559090559,16220.9541015625,9071,0.0,0.0
2022-12-08 00:00:00+05:30,16325.840424005843,16609.64427788827,16188.25799290719,16567.69140625,59599,0.0,0.0
2022-12-09 00:00:00+05:30,16610.590201237606,16942.753804889006,16476.567209272398,16626.537109375,71665,0.0,0.0
2022-12-12 00:00:00+05:30,16626.5383570894,16729.238529524977,16428.064035616557,16500.53515625,12681,0.0,0.0
2022-12-13 00:00:00+05:30,16500.487019796703,16758.3775761861,16436.986730615437,16684.341796875,16680,0.0,0.0
2022-12-14 00:00:00+05:30,16684.628297493142,16768.155848419265,16519.186054512204,16692.93359375,35770,0.0,0.0
2022-12-15 00:00:00+05:30,16748.222489566673,16866.252238747926,16671.481925893844,16766.494140625,22428,0.0,0.0
